250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0.01
297,0.01
298,0.01
299,0.01
300,0.01
301,0.02
302,0.03
303,0.03
304,0.04
305,0.05
306,0.06
307,0.07
308,0.08
309,0.1
310,0.11
311,0.14
312,0.21
313,0.25
314,0.23
315,0.22
316,0.25
317,0.28
318,0.3
319,0.33
320,0.37
321,0.4
322,0.43
323,0.46
324,0.5
325,0.53
326,0.56
327,0.59
328,0.63
329,0.66
330,0.69
331,0.71
332,0.74
333,0.77
334,0.8
335,0.81
336,0.83
337,0.84
338,0.87
339,0.88
340,0.89
341,0.9
342,0.91
343,0.91
344,0.91
345,0.93
346,0.93
347,0.93
348,0.92
349,0.92
350,0.91
351,0.9
352,0.89
353,0.88
354,0.87
355,0.86
356,0.85
357,0.83
358,0.81
359,0.8
360,0.78
361,0.76
362,0.74
363,0.72
364,0.8
365,0.9
366,0.8
367,0.67
368,0.62
369,0.6
370,0.58
371,0.55
372,0.53
373,0.51
374,0.49
375,0.47
376,0.45
377,0.43
378,0.41
379,0.39
380,0.37
381,0.35
382,0.34
383,0.32
384,0.3
385,0.29
386,0.27
387,0.26
388,0.24
389,0.23
390,0.22
391,0.21
392,0.19
393,0.18
394,0.17
395,0.16
396,0.15
397,0.14
398,0.13
399,0.13
400,0.12
