205	1.80E-19
210	1.81E-20
215	1.43E-20
220	1.68E-20
225	2.58E-20
230	4.40E-20
235	8.16E-20
240	1.53E-19
245	2.67E-19
250	4.08E-19
255	5.32E-19
260	5.92E-19
265	5.72E-19
270	4.80E-19
275	3.61E-19
280	2.46E-19
285	1.54E-19
290	9.04E-20
295	5.12E-20
300	2.78E-20
305	1.49E-20
310	8.16E-21
315	4.36E-21
320	2.51E-21
325	1.39E-21
330	8.08E-22
335	4.60E-22
340	2.75E-22
345	1.61E-22
350	1.01E-22
355	6.00E-23
360	4.20E-23
365	2.66E-23
370	1.92E-23
375	2.14E-23
380	2.12E-23
